"site","who","transect","segment","specimen_number","gross_ID","plant","notes","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fine_ID","date","year","captured","finest_ID","drought"
"Avery Picnic","BB","P3",5,15381,"Other fly","Helianthella quinquenervis","was accidentally mislabelled on field datasheets as 13581. This has been corrected on the pinned specimen, updated on the paper datasheet and on this sheet. CNM 4.6.17","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-11",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",6,15001,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","","2016-07-06",2016,"True","Other fly","non-drought"
"Gothic Town","LAT","P7",2,15002,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","LAT","P7",2,15003,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15004,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15005,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15006,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15007,"Other fly","Linum lewisii","","Diptera","Muscidae","","","","Muscidae","2016-07-06",2016,"True","Muscidae","non-drought"
"Gothic Town","LAT","P7",2,15008,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15009,"Other fly","Linum lewisii","","Diptera","Empididae","","","","Empididae","2016-07-06",2016,"True","Empididae","non-drought"
"Gothic Town","LAT","P7",2,15010,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15011,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P7",2,15012,"Syrphidae","Linum lewisii","doesn't say if 1 or 2","Diptera","Syrphidae","Syrphinae","Platycheirus","","Platycheirus 1","2016-07-06",2016,"True","Platycheirus 1","non-drought"
"Gothic Town","LAT","P7",2,15013,"Other fly","Linum lewisii","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P3",4,15014,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","LAT","P3",4,15015,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P3",4,15016,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","LAT","P3",4,15017,"Small black solitary bee","Potentilla pulcherrima","","Hymenoptera","Andrenidae","Andreninae","Andrena","","Andrena","2016-07-06",2016,"True","Andrena","non-drought"
"Gothic Town","LAT","P5",4,15018,"Other fly","Linum lewisii","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","LAT","P5",4,15019,"Small black solitary bee","Potentilla pulcherrima","","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
"Gothic Town","LAT","P3",8,15020,"Other fly","Potentilla pulcherrima","","Diptera",NA,"","","","Drymeia/Hydrotaea","2016-07-06",2016,"True","Drymeia/Hydrotaea","non-drought"
"Gothic Town","LAT","P3",8,15021,"Other fly","Potentilla pulcherrima","","Diptera","Muscidae","Azeliinae","Thricops","","Thricops","2016-07-06",2016,"True","Thricops","non-drought"
"Gothic Town","LAT","P3",8,15022,"Small black solitary bee","Potentilla pulcherrima","","Hymenoptera","Andrenidae","Panurginae","Panurginus","cressoniellus","Panurginus cressoniellus","2016-07-06",2016,"True","Panurginus cressoniellus","non-drought"
