year,date,day_of_year,week_num,site,transect,start_time,end_time,plant,pollinator,interactions,pollinator_family,pollinator_group,pollinator_sex,pollinator_2013,observer
2013,2013-07-11,192,8,shady_point,2,14:35:00,14:50:00,agoceris_aurantiaca,nymphalidae_spp,1,nymphalidae,butterfly,NA,nymphalidae_spp,JLC_PJC
2013,2013-07-18,199,9,shady_point,1,11:15:00,11:25:00,agoceris_aurantiaca,nymphalidae_spp,1,nymphalidae,butterfly,NA,nymphalidae_spp,JLC_PJC
2013,2013-07-19,200,9,shady_point,1,11:45:00,12:00:00,agoceris_aurantiaca,nymphalidae_spp,1,nymphalidae,butterfly,NA,nymphalidae_spp,JLC_PJC
2013,2013-06-28,179,6,twin_meadows,4,10:53:00,11:03:00,agoceris_glauca,muscidae_spp_01,1,muscidae,fly,NA,muscidae_spp,JLC_PJC
2013,2013-05-31,151,2,twin_meadows,1,11:30:00,11:45:00,androsace_septentrionalis,andrena_cyanophila,2,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-05-31,151,2,shady_point,2,12:30:00,12:45:00,androsace_septentrionalis,lasioglossum_spp,3,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,4,12:50:00,13:05:00,androsace_septentrionalis,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,1,13:30:00,13:45:00,androsace_septentrionalis,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,twin_meadows,1,11:30:00,11:45:00,androsace_septentrionalis,lasioglossum_spp,2,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,1,13:25:00,13:40:00,androsace_septentrionalis,lasioglossum_spp,12,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,2,13:41:00,13:56:00,androsace_septentrionalis,lasioglossum_spp,4,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,2,13:41:00,13:56:00,androsace_septentrionalis,lasioglossum_spp,3,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,twin_meadows,1,11:30:00,11:45:00,androsace_septentrionalis,muscidae_spp_01,2,muscidae,fly,NA,muscidae_spp,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,1,13:25:00,13:40:00,androsace_septentrionalis,sphecodes_sp_01,2,halictidae,bee,NA,sphecodes_sp_01,JLC_PJC
2013,2013-06-01,152,2,shady_point,2,16:25:00,16:40:00,androsace_septentrionalis,syrphidae_spp,2,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,1,13:32:00,13:47:00,androsace_septentrionalis,andrena_cyanophila,1,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-06-06,157,3,shady_point,4,11:02:00,11:17:00,androsace_septentrionalis,sphecodes_sp_01,2,halictidae,bee,NA,sphecodes_sp_01,JLC_PJC
2013,2013-06-12,163,4,twin_meadows,1,10:38:00,10:53:00,androsace_septentrionalis,sphecodes_sp_01,1,halictidae,bee,NA,sphecodes_sp_01,JLC_PJC
2013,2013-06-28,179,6,twin_meadows,2,10:33:00,10:43:00,arenaria_congesta,ochlodes_sylvanoides,1,hesperiidae,butterfly,NA,hesperiidae_spp,JLC_PJC
2013,2013-06-28,179,6,shady_point,1,11:30:00,11:40:00,arenaria_congesta,syrphidae_spp,1,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-06-25,176,6,shady_point,1,16:16:00,16:26:00,arenaria_congesta,systoechus_sp,1,bombyliidae,fly,NA,systoechus_sp,JLC_PJC
2013,2013-07-03,184,7,twin_meadows,2,14:53:00,15:08:00,arenaria_congesta,bombus_bifarius,1,apidae,bee,worker,bombus_bifarius,JLC_PJC
2013,2013-07-05,186,7,shady_point,1,13:25:00,13:40:00,arenaria_congesta,bombus_bifarius,3,apidae,bee,worker,bombus_bifarius,JLC_PJC
2013,2013-07-02,183,7,twin_meadows,3,13:15:00,13:30:00,arenaria_congesta,colletes_kincaidii,2,colletidae,bee,NA,colletes_kincaidii,JLC_PJC
2013,2013-07-05,186,7,shady_point,2,13:40:00,13:55:00,arenaria_congesta,halictus_rubicundus,1,halictidae,bee,NA,halictus_rubicundus,JLC_PJC
2013,2013-07-05,186,7,shady_point,1,13:25:00,13:40:00,arenaria_congesta,megachile_relativa,1,megachilidae,bee,NA,megachile_relativa,JLC_PJC
2013,2013-07-05,186,7,twin_meadows,3,14:50:00,15:05:00,arenaria_congesta,osmia_proxima,2,megachilidae,bee,NA,osmia_proxima,JLC_PJC
2013,2013-07-03,184,7,shady_point,1,13:35:00,13:51:00,arenaria_congesta,syrphidae_spp,3,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-07-02,183,7,shady_point,1,13:45:00,14:00:00,arenaria_congesta,systoechus_sp,1,bombyliidae,fly,NA,systoechus_sp,JLC_PJC
2013,2013-07-02,183,7,shady_point,2,14:00:00,14:15:00,arenaria_congesta,systoechus_sp,2,bombyliidae,fly,NA,systoechus_sp,JLC_PJC
2013,2013-07-05,186,7,shady_point,1,13:25:00,13:40:00,arenaria_congesta,tachinidae_sp_01,1,tachinidae,fly,NA,tachinidae_sp_01,JLC_PJC
2013,2013-07-09,190,8,shady_point,1,11:25:00,11:40:00,arenaria_congesta,bombus_appositus,3,apidae,bee,worker,bombus_appositus,JLC_PJC
2013,2013-07-11,192,8,twin_meadows,2,13:30:00,13:45:00,arenaria_congesta,bombus_sylvicola,3,apidae,bee,worker,bombus_sylvicola,JLC_PJC
2013,2013-07-10,191,8,twin_meadows,3,12:55:00,13:10:00,arenaria_congesta,lycaenidae_spp,1,lycaenidae,butterfly,NA,lycaenidae_spp,JLC_PJC
2013,2013-07-11,192,8,shady_point,1,14:50:00,15:05:00,arenaria_congesta,syrphidae_spp,3,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-07-23,204,10,twin_meadows,2,14:55:00,15:10:00,arenaria_congesta,bombus_sylvicola,1,apidae,bee,worker,bombus_sylvicola,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,1,14:40:00,14:50:00,boechera_stricta,andrena_cyanophila,1,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-06-11,162,4,twin_meadows,3,12:20:00,12:30:00,boechera_stricta,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-11,162,4,twin_meadows,2,12:41:00,12:51:00,boechera_stricta,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-11,162,4,shady_point,4,11:27:00,11:37:00,boechera_stricta,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-07-16,197,9,twin_meadows,2,14:40:00,14:50:00,campanula_rotundifolia,bombus_appositus,1,apidae,bee,worker,bombus_appositus,JLC_PJC
2013,2013-07-17,198,9,shady_point,1,10:40:00,10:55:00,campanula_rotundifolia,bombus_sylvicola,1,apidae,bee,worker,bombus_sylvicola,JLC_PJC
2013,2013-07-18,199,9,shady_point,1,11:15:00,11:25:00,campanula_rotundifolia,megachile_relativa,4,megachilidae,bee,NA,megachile_relativa,JLC_PJC
2013,2013-07-23,204,10,shady_point,2,13:35:00,13:50:00,campanula_rotundifolia,bombus_bifarius,4,apidae,bee,worker,bombus_bifarius,JLC_PJC
2013,2013-07-26,207,10,shady_point,4,14:30:00,14:45:00,campanula_rotundifolia,bombus_sylvicola,7,apidae,bee,worker,bombus_sylvicola,JLC_PJC
2013,2013-07-26,207,10,shady_point,4,13:00:00,13:15:00,campanula_rotundifolia,megachile_relativa,3,megachilidae,bee,NA,megachile_relativa,JLC_PJC
2013,2013-07-31,212,11,shady_point,4,12:40:00,12:55:00,campanula_rotundifolia,megachile_relativa,1,megachilidae,bee,NA,megachile_relativa,JLC_PJC
2013,2013-05-24,144,1,shady_point,2,14:22:00,14:37:00,claytonia_lanceolata,andrena_cyanophila,2,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-05-24,144,1,twin_meadows,4,11:38:00,11:53:00,claytonia_lanceolata,andrena_cyanophila,1,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-05-24,144,1,shady_point,4,14:45:00,15:00:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,shady_point,3,14:05:00,14:20:00,claytonia_lanceolata,lasioglossum_spp,2,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,shady_point,2,14:22:00,14:37:00,claytonia_lanceolata,lasioglossum_spp,6,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,shady_point,2,14:01:00,14:16:00,claytonia_lanceolata,lasioglossum_spp,6,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,shady_point,4,14:20:00,14:35:00,claytonia_lanceolata,lasioglossum_spp,6,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,shady_point,3,14:38:00,14:53:00,claytonia_lanceolata,lasioglossum_spp,9,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,twin_meadows,2,11:11:00,11:26:00,claytonia_lanceolata,lasioglossum_spp,2,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,twin_meadows,3,11:35:00,11:50:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,twin_meadows,4,12:30:00,12:45:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,twin_meadows,1,11:11:00,11:26:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,twin_meadows,3,12:27:00,12:42:00,claytonia_lanceolata,lasioglossum_spp,4,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-24,144,1,shady_point,2,14:01:00,14:16:00,claytonia_lanceolata,pieris_rapa,6,pieridae,butterfly,NA,pieris_rapa,JLC_PJC
2013,2013-05-24,144,1,shady_point,1,14:38:00,14:53:00,claytonia_lanceolata,syrphidae_spp,1,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-05-31,151,2,shady_point,2,12:30:00,12:45:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,4,12:50:00,13:05:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,3,13:10:00,13:25:00,claytonia_lanceolata,lasioglossum_spp,6,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,3,12:48:00,13:03:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,2,13:07:00,13:22:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,twin_meadows,3,11:55:00,12:10:00,claytonia_lanceolata,lasioglossum_spp,6,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,4,12:56:00,13:05:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,3,13:05:00,13:20:00,claytonia_lanceolata,lasioglossum_spp,3,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,4,13:24:00,13:39:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,3,13:41:00,13:56:00,claytonia_lanceolata,lasioglossum_spp,1,halictidae,bee,NA,lasioglossum_spp_01,JLC_PJC
2013,2013-05-31,151,2,shady_point,4,13:24:00,13:39:00,claytonia_lanceolata,syrphidae_spp,2,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-06-01,152,2,shady_point,2,16:25:00,16:40:00,claytonia_lanceolata,syrphidae_spp,4,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-06-01,152,2,twin_meadows,3,13:41:00,13:56:00,claytonia_lanceolata,syrphidae_spp,6,syrphidae,fly,NA,syrphidae_spp,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,2,12:48:00,13:03:00,delphinium_nuttallianum,andrena_cyanophila,1,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,2,12:12:00,12:27:00,delphinium_nuttallianum,andrena_transnigra,2,andrenidae,bee,NA,andrena_transnigra,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,2,12:12:00,12:27:00,delphinium_nuttallianum,bombus_appositus,11,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,1,14:32:00,14:47:00,delphinium_nuttallianum,bombus_bifarius,1,apidae,bee,queen,bombus_bifarius,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,2,14:51:00,15:01:00,delphinium_nuttallianum,bombus_bifarius,7,apidae,bee,queen,bombus_bifarius,JLC_PJC
2013,2013-06-06,157,3,twin_meadows,1,11:56:00,12:09:00,delphinium_nuttallianum,selasphorus_platycercus,17,trochilidae,hummingbird,NA,selasphorus_platycerus,JLC_PJC
2013,2013-06-11,162,4,twin_meadows,2,12:41:00,12:51:00,delphinium_nuttallianum,andrena_cyanophila,1,andrenidae,bee,NA,andrena_cyanophila,JLC_PJC
2013,2013-06-12,163,4,twin_meadows,2,09:50:00,10:05:00,delphinium_nuttallianum,anthophora_terminalis,1,anthophoridae,bee,NA,anthophora_terminalis,JLC_PJC
2013,2013-06-14,165,4,twin_meadows,2,15:36:00,15:51:00,delphinium_nuttallianum,anthophora_terminalis,3,anthophoridae,bee,NA,anthophora_terminalis,JLC_PJC
2013,2013-06-11,162,4,twin_meadows,3,12:20:00,12:30:00,delphinium_nuttallianum,bombus_appositus,10,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-11,162,4,twin_meadows,1,12:30:00,12:40:00,delphinium_nuttallianum,bombus_appositus,22,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-12,163,4,shady_point,2,11:00:00,11:15:00,delphinium_nuttallianum,bombus_appositus,4,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-12,163,4,twin_meadows,2,09:50:00,10:05:00,delphinium_nuttallianum,bombus_appositus,4,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-12,163,4,twin_meadows,1,10:38:00,10:53:00,delphinium_nuttallianum,bombus_appositus,31,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-14,165,4,shady_point,3,14:16:00,14:31:00,delphinium_nuttallianum,bombus_appositus,3,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-14,165,4,shady_point,2,14:30:00,14:45:00,delphinium_nuttallianum,bombus_appositus,14,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-14,165,4,shady_point,1,14:45:00,15:00:00,delphinium_nuttallianum,bombus_appositus,5,apidae,bee,queen,bombus_appositus,JLC_PJC
2013,2013-06-14,165,4,twin_meadows,2,10:05:00,10:15:00,delphinium_nuttallianum,bombus_appositus,4,apidae,bee,queen,bombus_appositus,JLC_PJC
