FileName,Species,sample,Specimen,Biomass,VWC,Type,Year,Note
Achmil1Jun27_08232018.qgd,Achillea millefolium,PAchmil1Jun27,AM,0.22301,1.1,floral,2018,
Achmil2Jul17_08232018.qgd,Achillea millefolium,PAchmil2Jul17,AM,0.43491,4.3,floral,2018,
Achmil4Aug6_08222018.qgd,Achillea millefolium,PAchmil4Aug6,AM,0.36929,1.7,floral,2018,
Achmil5Aug8_08222018.qgd,Achillea millefolium,PAchmil5Aug8,AM,0.17298,2.4,floral,2018,
AirJuly 16_07252018.qgd,,,Air,,,ambient,2018,
AirAug10_08282018.qgd,,,Air,,,ambient,2018,
AirAug1_08272018.qgd,,,Air,,,ambient,2018,
AirAug3_08272018.qgd,,,Air,,,ambient,2018,
AirAug6_08262018.qgd,,,Air,,,ambient,2018,
AirAug8_08222018.qgd,,,Air,,,ambient,2018,
AirAug9_08232018.qgd,,,Air,,,ambient,2018,
AirJul11_08282018.qgd,,,Air,,,ambient,2018,
AirJul12_08282018.qgd,,,Air,,,ambient,2018,
AirJul13_08272018.qgd,,,Air,,,ambient,2018,
AirJul17_08232018.qgd,,,Air,,,ambient,2018,
AirJul23_08242018.qgd,,,Air,,,ambient,2018,
AirJul2_08282018.qgd,,,Air,,,ambient,2018,
AirJul31_08242018.qgd,,,Air,,,ambient,2018,
AirJul6_08272018.qgd,,,Air,,,ambient,2018,
AirJul9_08262018.qgd,,,Air,,,ambient,2018,
AirJun10_08242018.qgd,,,Air,,,ambient,2018,
AirJun20_08282018.qgd,,,Air,,,ambient,2018,
AirJun21_08272018.qgd,,,Air,,,ambient,2018,
AirJun25_08282018.qgd,,,Air,,,ambient,2018,
AirJun26_08282018.qgd,,,Air,,,ambient,2018,
AirJun27_08282018.qgd,,,Air,,,ambient,2018,
AirJun28_08272018.qgd,,,Air,,,ambient,2018,
Arecon1Jun23_08272018.qgd,Arenaria congesta,PArecon1Jun28,AC,0.028,0.7,floral,2018,
Arecon3Jul13_08262018.qgd,Arenaria congesta,PArecon2Jul13,AC,0.03851,3.8,floral,2018,
Arecon4Aug3_08222018.qgd,Arenaria congesta,PArecon4Aug3,AC,0.05506,7.1,floral,2018,
Arecon4Jul17_08242018.qgd,Arenaria congesta,PArecon3Jul17,AC,0.03305,8.8,floral,2018,
Blank10_08282018.qgd,,,,,,blank,2018,remove
Blank2_08222018.qgd,,,,,,blank,2018,remove
Blank3_08232018.qgd,,,,,,blank,2018,remove
Blank4_08242018.qgd,,,,,,blank,2018,remove
Blank5_08242018.qgd,,,,,,blank,2018,remove
Blank6_08262018.qgd,,,,,,blank,2018,remove
Blank7_08272018.qgd,,,,,,blank,2018,remove
Blank8_08272018.qgd,,,,,,blank,2018,remove
Blank9_08282018.qgd,,,,,,blank,2018,remove
Blank_07252018.qgd,,,,,,blank,2018,remove
Blank_08222018.qgd,,,,,,blank,2018,remove
Boestr1Jun25_08282018.qgd,Boechera stricta,PBoestr1Jun25,BS,0.01069,1.8,floral,2018,
Boestr2Jun25_08282018.qgd,Boechera stricta,PBoestr2Jun25,BS,0.04509,1.7,floral,2018,
