FileName,Date,Site,SampleID,Researcher,Bag Time,Pump Time,End Time,Flowers,Buds,PumpID,VWC,Type,Biomass,Remarks
L_2D_July30_07312019.qgd,7/30/2019,L,2,LS,0.456944444,0.477777778,0.488194444,1,0,JMP3,3.8,floral,0.00582,
L_3D_July30_07312019.qgd,7/30/2019,L,3,KW,0.414583333,0.4375,0.447916667,1,1,DRC5,3.7,floral,0.02273,
L_4D_July30_07312019.qgd,7/30/2019,L,4,KW,0.433333333,0.45625,0.466666667,1,1,DRC7,2.2,floral,0.02247,
L_5D_July30_07312019.qgd,7/30/2019,L,5,KW,0.476388889,0.500694444,0.511111111,1,0,DRC7,2.3,floral,0.00475,
L_6D_July30_07312019.qgd,7/30/2019,L,6,KW,0.472916667,0.49375,0.504166667,1,0,DRC5,2.8,floral,0.00882,
L_8D_July30_07312019.qgd,7/30/2019,L,8,KW,0.418055556,0.438888889,0.449305556,1,0,CWu2,2.4,floral,0.00441,
L_9D_July30_07312019.qgd,7/30/2019,L,9,JN,0.415277778,0.436111111,0.446527778,1,0,DRC4,3.8,floral,0.00717,
L_10D_July30_07312019.qgd,7/30/2019,L,10,JN,0.461805556,0.482638889,0.493055556,1,0,DRC4,3.5,floral,0.00879,
L_13D_July30_07312019.qgd,7/30/2019,L,13,JN,0.510416667,0.53125,0.041666667,1,0,DRC8,4.1,floral,0.0077,
L_14D_July30_07312019.qgd,7/30/2019,L,14,JN,0.513888889,0.534722222,0.045138889,1,0,DRC1,4.6,floral,0.01001,Dropped scent trap
L_15D_July30_07312019.qgd,7/30/2019,L,15,LS,0.531944444,0.052777778,0.063194444,1,1,DRC3,2.9,floral,0.00939,
L_16D_July30_07312019.qgd,7/30/2019,L,16,LS,0.534722222,0.055555556,0.065972222,1,0,CWu2,3.1,floral,0.00636,old flower
L_17D_July30_07312019.qgd,7/30/2019,L,17,JN,0.528472222,0.049305556,0.059722222,1,0,DRC8,2.6,floral,0.00676,
L_18D_July30_07312019.qgd,7/30/2019,L,18,KW,0.539583333,0.053472222,0.063888889,1,0,DRC7,4,floral,0.00937,
L_19D_July30_07312019.qgd,7/30/2019,L,19,KW,0.463888889,0.484722222,0.495138889,1,1,DRC7,2.3,floral,0.01502,
L_20D_July30_07312019.qgd,7/30/2019,L,20,LS,0.477083333,0.498611111,0.509027778,1,0,JMP1,3.9,floral,0.00909,
L_21D_July30_07312019.qgd,7/30/2019,L,21,KW,0.489583333,0.513194444,0.523611111,1,0,DRC5,2.5,floral,0.00547,
