FileName,Sample,SampleDate,Specimen,Species,Pump#,VWC (%),Height (cm),Biomass,Flowers,Buds,Notes,Type,Year,Notes
Air_00_190625_Paul_6252019_21.qgd,0,6/25/2019,Air,,JMP2,,,,,,,ambient,2019,
EG_01_190625_Paul_6252019_22.qgd,1,6/25/2019,ErGr,Erythronium grandiflora,JMP3,30.1,10,0.02785,1,0,,floral,2019,
EG_02_190625_Paul_722019_20.qgd,2,6/25/2019,ErGr,Erythronium grandiflora,DRC1,32.4,13,0.023,1,0,,floral,2019,
CL_03_190625_Paul_722019_21.qgd,3,6/25/2019,ClLa,Claytonia lanceolatum,JMP1,21.2,7,0.00852,1,0,2 leaves,floral,2019,
CL_04_190625_Paul_732019_21.qgd,4,6/25/2019,ClLa,Claytonia lanceolatum,DRC3,19.7,8,0.02117,4,1,,floral,2019,
HC_05_190625_Paul_732019_20.qgd,5,6/25/2019,HyCa,Hydrophyllum capitatum,JMP3,14.7,7,0.2011,28,0,,floral,2019,
HC_06_190625_Paul_732019_02.qgd,6,6/25/2019,HyCa,Hydrophyllum capitatum,JMP2,13.7,8,0.134,35,0,Oven bag not heat sealed,floral,2019,
Air_07_190625_Paul_732019_03.qgd,7,6/25/2019,Air,,DRC1,,,,,,,ambient,2019,
Air_08_190626_Paul_6282019_21.qgd,8,6/26/2019,Air,,DRC1,,,,,,,ambient,2019,
VP_09_190626_Paul_6282019_22.qgd,9,6/26/2019,ViPr,Viola praemorsa,JMP2,19.4,5,0.01005,1,0,,floral,2019,
VP_10_190626_Paul_782019_16.qgd,10,6/26/2019,ViPr,Viola praemorsa,JMP3,17.4,6,0.00961,1,0,,floral,2019,
CL_11_190626_Paul_782019_17.qgd,11,6/26/2019,ClLa,Claytonia lanceolatum,DRC3,23.9,9,0.02,3,0,,floral,2019,
MR_12_190626_Paul_782019_18.qgd,12,6/26/2019,MaRe,Mahonia repens,JMP1,3.5,5,0.14236,11,4,,floral,2019,
MF_13_190626_Paul_782019_19.qgd,13,6/26/2019,MeFu,Mertensia fusiformis,JMP3,9.9,11,0.05347,18,0,,floral,2019,
Air_14_190626_Paul_782019_20.qgd,14,6/26/2019,Air,,DRC1,,,,,,,ambient,2019,
Air_15_190627_Paul_782019_21.qgd,15,6/27/2019,Air,,JMP1,,,,,,,ambient,2019,
BS_16_190627_Paul_792019_02.qgd,16,6/27/2019,BoSt,Boechera stricta,DRC1,2.5,34,0.02697,5,3,,floral,2019,
BS_17_190627_Paul_782019_24.qgd,17,6/27/2019,BoSt,Boechera stricta,DRC3,66.6,33,0.02234,4,2,,floral,2019,
SI_18_190627_Paul_782019_25.qgd,18,6/27/2019,SeIn,Senecio integerrimus,JMP3,5.4,48,0.57792,9,0,,floral,2019,
SI_19_190627_Paul_782019_26.qgd,19,6/27/2019,SeIn,Senecio integerrimus,JMP2,5.1,47,0.55898,7,2,,floral,2019,
MF_20_190627_Paul_782019_27.qgd,20,6/27/2019,MeFu,Mertensia fusiformis,DRC1,22.9,19,0.10505,25,3,,floral,2019,
MR_21_190627_Paul_782019_28.qgd,21,6/27/2019,MaRe,Mahonia repens,DRC3,5.4,4,0.09712,13,4,Aphid,floral,2019,
VP_22_190627_Paul_792019_02.qgd,22,6/27/2019,ViPr,Viola praemorsa,JMP2,13.5,6,0.00992,1,0,,floral,2019,
Air_23_190627_Paul_792019_03.qgd,23,6/27/2019,Air,,JMP3,,,,,,,ambient,2019,
Air_24_190628_Paul_792019_04.qgd,24,6/28/2019,Air,,DRC1,,,,,,,ambient,2019,
VP_25_190628_Paul_792019_05.qgd,25,6/28/2019,ViPr,Viola praemorsa,JMP2,4.1,6,0.00782,1,0,,floral,2019,
VP_26_190628_Paul_792019_06.qgd,26,6/28/2019,ViPr,Viola praemorsa,JMP1,13.2,11,0.01194,1,0,,floral,2019,
