"","Species","Year"
"1","AC",2019
"2","AC",2019
"3","AC",2019
"4","AC",2019
"5","AC",2019
"6","AC",2017
"7","AC",2017
"8","AM",2018
"9","AM",2018
"10","AM",2018
"11","AM",2018
"12","AC",2017
"13","AC",2017
"14","AM",2019
"15","AM",2019
"16","AM",2019
"17","AM",2019
"18","AM",2017
"19","AM",2017
"20","AM",2017
"21","AC",2018
"22","AC",2018
"23","AC",2018
"24","AC",2018
"25","CR",2018
"26","CR",2018
"27","CR",2018
"28","CR",2018
"29","CR",2018
"30","CR",2019
"31","CR",2019
"32","CR",2019
"33","CR",2019
"34","CR",2019
"35","CR",2017
"36","CR",2017
"37","CR",2017
"38","CR",2017
"39","ES",2018
"40","ES",2018
"41","ES",2018
"42","ES",2019
"43","ES",2019
"44","ES",2019
"45","ES",2019
"46","ES",2017
"47","ES",2017
"48","ES",2017
"49","ES",2017
"50","GB",2018
"51","GB",2018
"52","GB",2018
"53","GB",2018
"54","GB",2018
"55","GB",2019
"56","GB",2019
"57","GB",2019
"58","GB",2019
"59","GB",2017
"60","GB",2017
"61","GB",2017
"62","GB",2017
"63","HV",2018
"64","HV",2018
"65","HV",2018
"66","HV",2018
"67","HV",2018
"68","HV",2019
"69","HV",2019
"70","HV",2019
"71","HV",2019
"72","HV",2017
"73","HV",2017
"74","HV",2017
"75","HV",2017
