Sample,beta-Bourbonene,beta-Copaen-4α-ol,Sesquisabinene,gamma-Muurolene,(Z)-3-Hexenyl (E)-2-methyl-2-butenoate,alpha-Copaene,alpha-Cubebene,beta-Bisabolene,beta-Copaene,beta-Myrcene,gamma-Terpinene,2-methylbutyl acetate,Isohexanol,Cyclosativene,"p-Mentha-1,3,8-triene","2,2,6-Trimethyl-1,4-cyclohexanedione","2,6-Dimethylocta-1,5,7-trien-3-ol","2-Methyl-6-methylene-1,7-octadien-3-one","2,6-Dimethyl-1,7-octadien-3,6-diol",Linalool Oxide,2-Heptanol,(Z)-2-Hexenol,(E)-2-Hexenal,Allo-Ocimene,Cosmene,4-Oxoisophorone,beta-Dihydroagarofuran,Terpinen-4-ol,(E)-3-Hexenyl acetate,(Z)-3-Hexenyl propanoate,Methyl 3-hexenoate,Rose furan,"2,6-Dimethyl-3,7-octadien-2,6-diol",Car-3-en-5-one,(E)-Sabinene hydrate,Heptyl acetate,Pentyl acetate,Anisole,Borneol,alpha-Thujene,Verbenone,(E)-Pinocarveol,Pinocamphone,(Z)-Caryophyllene,2-Methylbutanoic acid,(E)-3-Hexenyl butanoate,(Z)-3-Hexenyl butanoate,(Z)-3-Methylbutylaldoxime,Camphene,Carveol,Caryophyllene,Caryophyllene oxide,Limonene Oxide,alpha-Bergamotene,(Z)-3-Hexenyl 2-methylbutanoate,(Z)-3-Hexenyl isobutyrate,Copaene, beta-Elemene,gamma-Elemene,Terpinolene, beta-Sesquiphellandrene,D-Carvone,D-Limonene,(E)-beta-Ocimene epoxide,epsilon-Muurolene,beta-Selinene,Carvacrol,2-Phenylethanol,Prenol,Isobutylaldoxime,(E)-alpha-Bergamotene,(E)-beta-Ocimene,Tricyclene
AC_60_1907015_Paul_7162019_05.qgd,0,0,0,0,0,0,0,0,0,0,0,16782,709573,0,0,0,0,0,0,0,0,0,0,0,0,37509,0,0,686228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_61_1907015_Paul_7162019_06.qgd,0,0,0,0,0,0,0,0,0,0,0,0,513480,0,0,0,0,0,0,0,0,0,0,0,0,209585,0,0,305527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498527,0,0,0,0,0,0,0,0,0,0
AC_62_1907015_Pau_7162019_08.qgd,0,0,0,0,0,0,0,0,0,0,0,36827,1310073,0,0,0,0,0,0,0,0,9526,521400,0,0,16564,0,0,6786470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526097,0,0,0,0,0,0,0,0,0,0
AC_63_1907015_Paul_7162019_09.qgd,0,0,0,0,0,0,0,0,0,0,0,0,408182,0,0,0,0,0,0,0,0,0,0,0,0,351642,0,0,1486379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC_83_190719_Paul_832019_03.qgd,0,0,0,0,0,0,0,0,0,0,0,0,180371,0,0,0,0,0,0,0,0,0,0,0,0,257661,0,0,186689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88822,0,0,0,0,0,0,0,0,0,0,0,80680,0,0,0,0,0,0,0,0,0,0
ACAug5_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524973,0,0,0,0,0,0,0,0,0,0
ACAug9_08262017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,93105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Achmil1Jun27_08232018.qgd,0,0,340775,183704,343127,0,0,0,0,1466559,314328,0,0,0,0,0,0,179959,0,0,0,0,164757,0,0,0,0,0,2656627,0,0,0,0,0,0,0,0,0,0,215830,0,0,0,0,0,0,412997,0,0,0,751498,0,0,0,104170,0,330582,0,0,0,0,0,7657636,0,0,0,0,0,0,0,0,0,0
Achmil2Jul17_08232018.qgd,0,0,0,0,0,193042,0,0,0,1752787,0,0,0,0,0,0,0,202072,556714,0,4960017,0,0,0,0,382401,0,0,1913950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079522,0,66829,0,0,0,0,0,0,0,0,262167,16893689,0,0,0,0,0,0,0,0,0,0
Achmil4Aug6_08222018.qgd,0,0,0,0,0,0,0,0,0,77230214,0,0,0,0,0,0,7801894,0,0,0,0,209171,1093194,449291,440103,0,0,578963,3656352,0,0,0,0,0,0,0,0,0,0,265104,0,0,0,0,0,0,0,2608715,0,0,3308627,1431716,0,0,217846,0,3205700,830170,616631,0,1528008,267117,22761359,0,0,0,0,0,201688,0,0,0,0
Achmil5Aug8_08222018.qgd,0,0,0,0,0,0,0,0,0,341829,112619,0,0,0,0,0,86711,126399,0,0,0,0,0,0,0,0,0,266050,0,0,0,0,0,0,2140484,0,0,0,0,68692,0,0,0,0,0,0,0,0,0,0,0,249068,0,0,0,0,0,0,0,0,0,0,71210,0,0,0,0,0,0,0,0,0,0
ACJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,214539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACJul26_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733840,0,0,0,0,0,0,0,191413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158891,0,0,0,0,0,0,0,0,0,0
AM_84_190719_Paul_832019_04.qgd,0,0,0,0,159582,0,0,0,0,0,95713,0,0,0,0,0,0,0,0,0,540443,0,0,0,0,916257,0,158639,1397744,0,0,0,0,0,0,0,0,0,0,59753,0,0,0,0,0,0,0,0,0,0,177274,0,0,0,0,0,159706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AM_91_190722_Paul_832019_11.qgd,0,0,0,0,0,0,0,0,0,1667164,0,0,0,0,0,0,0,50663,0,0,0,19432,0,0,0,141098,0,0,3590747,0,0,0,0,0,0,0,111739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409773,0,0,0,0,0,0,0,0,0,0
AM_92_190722_Paul_842019_02.qgd,0,0,51993,0,0,104284,0,0,0,227806,129565,0,0,0,0,0,0,0,0,0,0,527766,1302863,0,0,675617,0,0,6995304,198234,0,0,0,0,0,0,107227,0,0,83130,0,0,0,0,0,0,98416,0,0,0,66816,130105,0,0,0,0,0,0,0,0,0,0,496883,0,0,0,0,0,72029,302718,57519,0,0
AM_93_190722_Paul_842019_03.qgd,0,0,0,0,0,0,0,0,0,1073927,0,102914,2985208,0,0,0,0,0,0,0,0,0,0,0,0,466017,0,0,16131317,0,0,262267,0,0,0,139750,287311,0,2843596,70510,0,752732,0,0,0,0,0,0,0,0,626246,845545,0,0,0,0,691230,485054,0,0,85600,0,2461225,0,0,546848,0,0,104193,564026,0,0,0
AMAug5_08242017.qgd,0,0,1309071,0,0,0,0,0,0,1842049,8975583,0,0,0,0,0,0,0,0,0,0,0,0,372132,642573,0,0,0,0,0,0,0,0,93305,2077292,0,0,0,19712320,396782,0,0,0,0,0,0,0,2145371,4620936,0,953979,0,0,0,0,0,1234169,469221,0,0,0,1060889,23592826,1236280,0,0,462959,0,0,733999,0,0,0
AMJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,2836047,3015989,0,0,0,0,0,289165,398103,0,0,0,0,159293,0,0,228419,0,138633,646727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244981,0,0,0,0,0,0,211989,0,0,153742,0,909942,0,0,0,0,0,0,0,0,0,0
AMJul28_08242017.qgd,0,0,0,0,0,0,0,0,0,1139335,0,61631,0,0,0,0,0,0,0,0,0,0,0,0,0,404665,0,0,4846814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5474707,248054,0,0,0,0,0,0,134151,0,0
Arecon1Jun23_08272018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,152460,0,0,0,0,0,213384,0,0,0,0,0,0,0,0,0,446535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242746,0,0,0,0,0,0,0,0,0,0
Arecon3Jul13_08262018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,154948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arecon4Aug3_08222018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arecon4Jul17_08242018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,432210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278419,0,0,0,0,0,0,0,0,0,0
Camrot1Jul12_08282018.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,636088,0,0,0,0,0,0,0,0,193314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
