[Header]
Data File Name	C:\GCMSsolution\Data\Project1\Campbell RMBL Data\Drought-net 2025\blank_9192025_02.qgd
Output Date	9/19/2025
Output Time	8:26:27 PM

[File Information]
Type	Data File
Generated	9/19/2025 7:44:45 PM
Generated by	Admin
Modified	9/19/2025 8:26:26 PM
Modified by	Admin

[Sample Information]
Operator Name	Admin
Analyzed	9/19/2025 7:56:34 PM
Type	Unknown
Level	1
Sample Name	blank
Sample ID	
ISTD Amount 1	1
ISTD Amount 2	1
ISTD Amount 3	1
ISTD Amount 4	1
ISTD Amount 5	1
ISTD Amount 6	1
ISTD Amount 7	1
ISTD Amount 8	1
ISTD Amount 9	1
ISTD Amount 10	1
ISTD Amount 11	1
ISTD Amount 12	1
ISTD Amount 13	1
ISTD Amount 14	1
ISTD Amount 15	1
ISTD Amount 16	1
ISTD Amount 17	1
ISTD Amount 18	1
ISTD Amount 19	1
ISTD Amount 20	1
ISTD Amount 21	1
ISTD Amount 22	1
ISTD Amount 23	1
ISTD Amount 24	1
ISTD Amount 25	1
ISTD Amount 26	1
ISTD Amount 27	1
ISTD Amount 28	1
ISTD Amount 29	1
ISTD Amount 30	1
ISTD Amount 31	1
ISTD Amount 32	1
Sample Amount	1
Dilution Factor	1
Vial#	1
Injection Volume	1
Injection Count	1
Bar Code	

[Option Information]
Markes method	Markes Ipo
Markes vial	

[Original Files]
Data File	C:\GCMSsolution\Data\Project1\Campbell RMBL Data\Drought-net 2025\blank_9192025_02.qgd
Method File	C:\GCMSsolution\Data\Project1\RMBL Methods\DB5 10deg method.qgm
Batch File	C:\GCMSsolution\Data\Project1\Campbell RMBL Data\Drought-net 2025\JB_2025_250919b.qgb
Report Format File	
Tuning File	C:\GCMSsolution\System\Tune1\06142025fil1.qgt

[File Description]
Janelle Bohey sampled 19 July 2024

[MC Peak Table]
# of Peaks	399
Mass	TIC
Peak#	Ret.Time	Proc.From	Proc.To	Mass	Area	Height	A/H	Conc.	Mark	Name	Ret. Index
1	0.028	0.010	0.045	TIC	44685	31512	1.42	0.03	   	3-(Prop-2-enoyloxy)tetradecane	
2	0.085	0.045	0.095	TIC	22897	7346	3.12	0.02	 V 		
3	0.110	0.095	0.140	TIC	9754	4927	1.98	0.01	 V 		
4	0.159	0.140	0.170	TIC	3096	2187	1.42	0.00	 V 		
5	0.430	0.400	0.475	TIC	4037	1783	2.26	0.00	   		
6	0.562	0.550	0.585	TIC	2348	1713	1.37	0.00	   		
7	0.604	0.590	0.615	TIC	1351	1684	0.80	0.00	   		
8	0.636	0.620	0.650	TIC	1807	1731	1.04	0.00	   		
9	0.744	0.650	0.775	TIC	9123	2947	3.10	0.01	 V 		
10	0.790	0.775	0.800	TIC	1078	1196	0.90	0.00	   		
11	0.826	0.800	0.850	TIC	5991	2914	2.06	0.00	 V 	Argon	
12	0.860	0.850	0.870	TIC	1455	2272	0.64	0.00	 V 		
13	0.885	0.870	0.930	TIC	5392	1571	3.43	0.00	 V 		
14	0.943	0.930	0.955	TIC	3879	3609	1.07	0.00	 V 		
15	0.972	0.955	0.990	TIC	4762	3183	1.50	0.00	 V 		
16	1.030	0.990	1.060	TIC	4666	1325	3.52	0.00	 V 		
17	1.076	1.060	1.115	TIC	6064	2772	2.19	0.00	 V 		
18	1.135	1.115	1.160	TIC	6385	3137	2.04	0.00	 V 		
19	1.205	1.160	1.220	TIC	27602	10129	2.73	0.02	 V 		
20	1.235	1.220	1.245	TIC	16606	11613	1.43	0.01	 V 		
21	1.274	1.245	1.300	TIC	28610	12205	2.34	0.02	 V 	dl-Alanyl-l-alanine	
22	1.355	1.300	1.375	TIC	8069	3147	2.56	0.01	 V 		
23	1.391	1.375	1.545	TIC	37025	5056	7.32	0.03	 V 		
24	1.640	1.545	1.660	TIC	16723	3733	4.48	0.01	 V 		
25	1.710	1.660	1.725	TIC	8061	2020	3.99	0.01	 V 		
26	1.834	1.725	1.860	TIC	19512	3966	4.92	0.01	 V 		
27	1.922	1.860	1.985	TIC	19915	4471	4.45	0.01	 V 	Silanol, trimethyl-	
28	2.000	1.985	2.010	TIC	1824	1630	1.12	0.00	 V 		
29	2.045	2.010	2.090	TIC	14379	3761	3.82	0.01	   		
30	2.110	2.090	2.155	TIC	17904	5905	3.03	0.01	 V 		
31	2.165	2.155	2.190	TIC	5513	3746	1.47	0.00	 V 		
32	2.258	2.190	2.305	TIC	33837	9855	3.43	0.02	 V 	1,3,5-Trifluorobenzene	
33	2.375	2.305	2.390	TIC	8637	3137	2.75	0.01	 V 		
34	2.468	2.390	2.485	TIC	8036	2286	3.52	0.01	 V 		
35	2.672	2.630	2.730	TIC	24309	6888	3.53	0.02	   	Benzene	
36	2.740	2.730	2.755	TIC	1256	1711	0.73	0.00	 V 		
37	2.950	2.925	2.970	TIC	5061	2388	2.12	0.00	   		
38	2.992	2.970	3.040	TIC	41293	13261	3.11	0.03	 V 	Silanediol, dimethyl-	
39	3.065	3.040	3.100	TIC	34488	13124	2.63	0.03	 V 	Pentanal	
40	3.110	3.100	3.150	TIC	7653	4355	1.76	0.01	 V 		
41	3.205	3.150	3.230	TIC	3747	1665	2.25	0.00	 V 		
42	3.276	3.255	3.290	TIC	2041	1977	1.03	0.00	   		
43	3.302	3.290	3.320	TIC	1979	1948	1.02	0.00	   		
44	3.420	3.405	3.445	TIC	2233	2186	1.02	0.00	   		
45	3.497	3.485	3.545	TIC	4044	1805	2.24	0.00	   		
46	3.576	3.545	3.635	TIC	8124	2436	3.33	0.01	   		
47	3.672	3.635	3.690	TIC	6351	3079	2.06	0.00	 V 		
48	3.750	3.690	3.765	TIC	5487	2429	2.26	0.00	 V 		
49	3.795	3.765	3.830	TIC	9097	4030	2.26	0.01	 V 		
50	3.901	3.830	3.920	TIC	17797	4509	3.95	0.01	 V 		
51	3.955	3.920	3.975	TIC	11719	4577	2.56	0.01	 V 		
52	4.063	3.975	4.085	TIC	23903	4131	5.79	0.02	 V 		
53	4.102	4.085	4.125	TIC	11205	5938	1.89	0.01	 V 		
54	4.140	4.125	4.150	TIC	4715	3892	1.21	0.00	 V 		
55	4.168	4.150	4.180	TIC	6719	4742	1.42	0.00	 V 		
56	4.225	4.180	4.240	TIC	13461	4092	3.29	0.01	 V 		
57	4.290	4.240	4.305	TIC	13525	4097	3.30	0.01	 V 		
58	4.378	4.305	4.400	TIC	23407	5609	4.17	0.02	 V 		
59	4.425	4.400	4.440	TIC	11053	5283	2.09	0.01	 V 		
60	4.493	4.440	4.505	TIC	31439	10919	2.88	0.02	 V 	Methyl Isobutyl Ketone	
61	4.515	4.505	4.575	TIC	25147	9068	2.77	0.02	 V 		
62	4.648	4.575	4.705	TIC	66702	20333	3.28	0.05	 V 	Hexanal	
63	4.729	4.705	4.790	TIC	25168	5890	4.27	0.02	 V 		
64	4.815	4.790	4.830	TIC	7802	3649	2.14	0.01	 V 		
65	4.880	4.830	4.905	TIC	12080	3716	3.25	0.01	 V 		
66	4.975	4.905	4.985	TIC	14207	3909	3.63	0.01	 V 		
67	5.035	4.985	5.080	TIC	44837	20197	2.22	0.03	 V 	Cyclotrisiloxane, hexamethyl-	
68	5.145	5.080	5.165	TIC	9596	3356	2.86	0.01	 V 		
69	5.185	5.165	5.200	TIC	2375	2055	1.16	0.00	 V 		
70	5.250	5.225	5.300	TIC	4226	1854	2.28	0.00	   		
71	5.325	5.300	5.350	TIC	5469	2992	1.83	0.00	   		
72	5.370	5.350	5.380	TIC	1699	1478	1.15	0.00	 V 		
73	5.498	5.460	5.570	TIC	10902	2984	3.65	0.01	   		
74	5.611	5.590	5.660	TIC	5621	2453	2.29	0.00	   		
75	5.670	5.660	5.700	TIC	1567	1226	1.28	0.00	   		
76	5.713	5.700	5.735	TIC	2427	1828	1.33	0.00	 V 		
77	5.770	5.735	5.895	TIC	19501	3342	5.84	0.01	 V 		
78	5.914	5.895	5.930	TIC	10072	6411	1.57	0.01	 V 		
79	5.940	5.930	5.970	TIC	6106	4024	1.52	0.00	 V 		
