plant,compound,emissions
achillea_millefolium,.alfa.-Copaene,26723.818181818184
achillea_millefolium,.beta.-Myrcene,8141160.278063554
achillea_millefolium,.beta.-Ocimene,2414608.615258882
achillea_millefolium,.beta.-Pinene,546434.7272727273
achillea_millefolium,.gamma.-Terpinene,1148641.792906019
achillea_millefolium,(+)-2-Bornanone,8929329.092399403
achillea_millefolium,"(1R,5R)-4-Methylene-1-((R)-6-methylhept-5-en-2-yl)bicyclo[3.1.0]hexane, (relative configuration)",154560.1642228739
achillea_millefolium,"(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene",932768.0897553002
achillea_millefolium,"(1S,2R,4R,7R)-4-Isopropyl-7-methyl-3,8-dioxatricyclo[5.1.0.02,4]octane",75263.90909090909
achillea_millefolium,"(1S,4aR,8aS)-1-Isopropyl-7-methyl-4-methylene-1,2,3,4,4a,5,6,8a-octahydronaphthalene",16700.363636363636
achillea_millefolium,"(3E,5E)-2,6-Dimethylocta-3,5,7-trien-2-ol",77054.29210134129
achillea_millefolium,(E)-4-Oxohex-2-enal,99004.9755300226
achillea_millefolium,"(E)-4,8-Dimethylnona-1,3,7-triene",1107471.031935278
achillea_millefolium,(R)-(-)-(Z)-14-Methyl-8-hexadecen-1-ol,26235.219941348976
achillea_millefolium,"(Z)-2,2-Dimethyl-3-(3-methylpenta-2,4-dien-1-yl)oxirane",115067.54545454546
achillea_millefolium,(Z)-Hex-3-enyl (E)-2-methylbut-2-enoate,45009.98701298701
achillea_millefolium,"[1,1'-Bicyclopentyl]-2-one",215679.981427175
achillea_millefolium,"1-Butanol, 2-methyl-",173369.27272727274
achillea_millefolium,"1-Butanol, 2-methyl-, acetate",14805.262295081968
achillea_millefolium,"1-Butanol, 3-methyl-",5166.070381231672
achillea_millefolium,"1-Butanol, 3-methyl-, acetate",5891.818181818182
achillea_millefolium,1-Chloroeicosane,196934.2727272727
achillea_millefolium,"1-Cyclohexene-1-carboxaldehyde, 4-(1-methylethenyl)-, (S)-",42209.818181818184
achillea_millefolium,"1-Heptanol, 2,4-diethyl-",5209.545454545455
achillea_millefolium,1-Hexadecanol,144817.63636363635
achillea_millefolium,1-Nonanol,60574.63636363636
achillea_millefolium,1-Nonene,45434.454545454544
achillea_millefolium,1-Pentanol,193854.00432900432
achillea_millefolium,"1-Pentanol, 2-ethyl-4-methyl-",21411.18181818182
achillea_millefolium,"1-Pentanol, 4-methyl-",266933.651266766
achillea_millefolium,1-Penten-3-ol,4785.454545454545
achillea_millefolium,"1-Pentene, 4-methyl-",64754.27272727273
achillea_millefolium,"1-Propanol, 2-methyl-",41209.96536796536
achillea_millefolium,"1,3-Cyclopentanediol, cis-",133709.0909090909
achillea_millefolium,"1,3-Octadiene",63627.664990923055
achillea_millefolium,"1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-",27198.06259314456
achillea_millefolium,"1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-",58452.63636363636
achillea_millefolium,"1,5,7-Octatrien-3-ol, 2,6-dimethyl-",743433.6363636364
achillea_millefolium,"1,7-Octadien-3-one, 2-methyl-6-methylene-",87017.81818181818
achillea_millefolium,"1,7-Octadiene-3,6-diol, 2,6-dimethyl-",50610.36363636364
achillea_millefolium,11-Methyldodecanol,4345.541125541125
achillea_millefolium,"2-Butenal, 3-methyl-",164783.52534562213
achillea_millefolium,"2-Butenoic acid, 2-methyl-, methyl ester, (Z)-",25990.363636363636
achillea_millefolium,"2-Cyclopenten-1-one, 3-methyl-2-(2-pentenyl)-, (Z)-",64926.52309985097
achillea_millefolium,"2-Heptanol, (S)-",497702.2380952381
achillea_millefolium,2-Heptanone,47079.56304985338
achillea_millefolium,"2-Hexanone, 4-methyl-",121020.3094173586
achillea_millefolium,"2-Hexen-1-ol, (Z)-",67213.1173020528
achillea_millefolium,"2-Hexenal, (E)-",243461.74193548388
achillea_millefolium,"2-Pentanol, 3-chloro-4-methyl-, (R*,R*)-(.+/-.)-",16875.636363636364
achillea_millefolium,"2-Pentanol, 4-methyl-",25629.18181818182
achillea_millefolium,"2-Penten-1-ol, 2-methyl-, (Z)-",10234.727272727272
achillea_millefolium,"2-Propanone, 1-hydroxy-",62312.96856149316
achillea_millefolium,"2-Propenoic acid, 6-methylheptyl ester",2113.4545454545455
achillea_millefolium,"2-Propenoic acid, octyl ester",145342.54545454544
achillea_millefolium,"2,4,6-Octatriene, 2,6-dimethyl-, (E,Z)-",74674.81818181818
achillea_millefolium,"2,4,6-Octatriene, 3,4-dimethyl-",40885.113263785395
achillea_millefolium,"2,6-Dimethyl-1,3,5,7-octatetraene, E,E-",98425.09090909093
achillea_millefolium,"2,6-Dimethyl-3,5,7-octatriene-2-ol, ,E,E-",796243.8181818182
achillea_millefolium,"2,6,6-Trimethyl-2-cyclohexene-1,4-dione",285582.63586915465
achillea_millefolium,"2H-Inden-2-one, 1,4,5,6,7,7a-hexahydro-7a-methyl-, (S)-",127305.64516129032
achillea_millefolium,3-Carene,95904.30998509689
achillea_millefolium,"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, (R)-",103157.341991342
achillea_millefolium,"3-Hexen-1-ol, (E)-",867359.38311116
achillea_millefolium,"3-Hexen-1-ol, acetate, (E)-",3752629.088590063
achillea_millefolium,"3-Hexen-1-ol, propanoate, (Z)-",17439.941348973607
achillea_millefolium,3-Methyl-2-(2-methyl-2-butenyl)-furan,23451.594634873323
achillea_millefolium,"4-Hexen-1-ol, (Z)-",686219.1818181818
achillea_millefolium,"4-Hexen-1-ol, 2-ethenyl-2,5-dimethyl-",38130.63636363636
achillea_millefolium,"4-Methyl-1,3-pentadiene",18783.81818181818
achillea_millefolium,"4-Pentenoic acid, 2-methyl-, 4-methyl-2-pentyl ester",11138.621700879768
achillea_millefolium,4-t-Pentylcyclohexene,463554.7272727273
achillea_millefolium,"4,5-Heptadien-2-one, 3,3,6-trimethyl-",166339.08047690016
achillea_millefolium,"4,7,7-Trimethylbicyclo[4.1.0]hept-3-en-2-one",8482.272727272728
achillea_millefolium,5-Isopropyl-2-methylbicyclo[3.1.0]hexan-2-ol #,383434.1818181818
achillea_millefolium,7-Oxabicyclo[2.2.1]heptan-2-one,78016.4502164502
achillea_millefolium,"Acetic acid, heptyl ester",12496.274217585697
achillea_millefolium,"Acetic acid, hexyl ester",633618.3410504533
achillea_millefolium,"Acetic acid, pentyl ester",45282.549829335134
achillea_millefolium,Acetoin,77540.97913561849
achillea_millefolium,Acetophenone,506795
achillea_millefolium,"Benzene, 1-methyl-3-(1-methylethyl)-",2528310.5454545454
achillea_millefolium,"Benzene, 1,3-dichloro-",10956.818181818182
achillea_millefolium,Benzyl isopentyl ether,24320.93841642229
achillea_millefolium,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-",640230.8628912071
achillea_millefolium,"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, acetate, (1S-endo)-",2046299.970193741
achillea_millefolium,"Bicyclo[2.2.1]heptane, 2,2-dimethyl-3-methylene-, (1S)-",213623.64006538148
achillea_millefolium,"Bicyclo[3.1.0]hex-2-ene, 2-methyl-5-(1-methylethyl)-",104828.91859136808
achillea_millefolium,"Bicyclo[3.1.0]hexane, 4-methylene-1-(1-methylethyl)-",6004181.372539324
achillea_millefolium,"Bicyclo[3.1.1]heptan-3-ol, 6,6-dimethyl-2-methylene-",67308.37555886737
achillea_millefolium,"Bicyclo[3.1.1]heptan-3-ol, 6,6-dimethyl-2-methylene-, [1S-(1.alpha.,3.alpha.,5.alpha.)]-",38953.545454545456
achillea_millefolium,"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-, (1S)-",2567998
achillea_millefolium,"Borane, diethyl(decyloxy)-",5841.272727272727
achillea_millefolium,Bornyl acetate,385047.3636363637
achillea_millefolium,"Butanal, 3-methyl-, oxime",3812.818181818182
achillea_millefolium,"Butanal, O-methyloxime",118595.00879765397
achillea_millefolium,"Butane, 1-fluoro-",15746.727272727272
achillea_millefolium,"Butanedioic acid, 2,3-bis(acetyloxy)-, [R-(R*,R*)]-",27149.03225806452
achillea_millefolium,"Butanenitrile, 2-methyl-",122986.52103264266
achillea_millefolium,"Butanenitrile, 3-methyl-",34458.22902745061
achillea_millefolium,"Butanoic acid, 3-hexenyl ester, (Z)-",46203.480938416425
achillea_millefolium,"Butyl aldoxime, 2-methyl-, syn-",432189.6363636363
achillea_millefolium,Camphene,420085.0909090909
achillea_millefolium,Caryophyllene,653461.790749529
achillea_millefolium,Caryophyllene oxide,239852.3337339551
achillea_millefolium,"cis-(-)-1,2-Epoxy-p-menth-8-ene",6075.363636363636
achillea_millefolium,cis-3-Hexenyl-.alpha.-methylbutyrate,29274.18181818182
achillea_millefolium,Copaene,509313.6648215173
achillea_millefolium,Cyclododecanol,24360
achillea_millefolium,"Cyclohexane, 1-ethenyl-1-methyl-2,4-bis(1-methylethenyl)-, [1S-(1.alpha.,2.beta.,4.beta.)]-",180771.1177347243
achillea_millefolium,"Cyclohexane, 1,1-dimethyl-2-propyl-",377825.71428571426
achillea_millefolium,"Cyclohexanol, 1-methyl-4-(1-methylethyl)-",47845.818181818184
achillea_millefolium,"Cyclohexanol, 5-methyl-2-(1-methylethyl)-",56335.72727272727
achillea_millefolium,"Cyclohexene, 3-(1,5-dimethyl-4-hexenyl)-6-methylene-, [S-(R*,S*)]-",160540.61102831594
achillea_millefolium,"Cyclooctene, 3-(1-methylethenyl)-",29840.727272727272
achillea_millefolium,"Cyclopentane, 1-ethyl-2-methyl-",49773.07331378299
achillea_millefolium,"Cyclopentane, 1,2-dimethyl-",12150.818181818182
achillea_millefolium,"Cyclopentane, 1,2,4-trimethyl-",32880.63636363636
achillea_millefolium,Cyclopentanone,30951.727272727272
achillea_millefolium,"Cyclopentanone, 2-ethyl-",64092.80313904322
achillea_millefolium,"Cyclopropane, 2-(1,1-dimethyl-2-propenyl)-1,1-dimethyl-",18246.795827123697
achillea_millefolium,D-Carvone,144561.18181818182
achillea_millefolium,D-Limonene,7333897.596846306
achillea_millefolium,"Decane, 3,7-dimethyl-",97217.36363636365
achillea_millefolium,"Decanoic acid, silver(1+) salt",78710.81818181818
achillea_millefolium,"E,Z-4-Ethylidenecyclohexene",137918.56416701578
achillea_millefolium,Eicosanoic acid,74233.09090909091
achillea_millefolium,Eicosyl octyl ether,37879.545454545456
achillea_millefolium,"Ethanone, 1-(3-cyclohexen-1-yl)-",13381.818181818182
achillea_millefolium,Eucalyptol,3642339.1158598145
achillea_millefolium,"Formic acid, hexyl ester",275649.3401759531
achillea_millefolium,"Formic acid, pentyl ester",7044.232488822654
achillea_millefolium,"Furan, 2-methyl-",146148.08047690016
achillea_millefolium,Geranyl acetate,8739.22077922078
achillea_millefolium,"Heptadecane, 2,6,10,14-tetramethyl-",64327.545454545456
achillea_millefolium,"Hexane, 1-chloro-",11328.272727272728
achillea_millefolium,Hexyl chloroformate,150394.18181818182
achillea_millefolium,Hexyl octyl ether,3699.5454545454545
achillea_millefolium,L-.alpha.-Terpineol,748030.3646459305
achillea_millefolium,L-Lactic acid,751888.8299120235
achillea_millefolium,Linalool,16994.372294372293
achillea_millefolium,Methyl vinyl ketone,96869.27272727272
