"transect","plot","plant","tag"
NA,NA,"ambdh","ambdh"
NA,NA,"ambfm","ambfm"
NA,NA,"ambfmgs","ambfmgs"
10,NA,"ambgs","ambgs"
NA,NA,"ambgs","ambgs"
NA,NA,"ambgsle","ambgsle"
1,NA,"ambjb","ambjb"
2,NA,"ambjb","ambjb"
10,NA,"ambjb","ambjb"
NA,NA,"ambjb","ambjb"
NA,NA,"ambjb2","ambjb2"
9,NA,"amble","amble"
NA,NA,"amble","amble"
NA,NA,"amblefm","amblefm"
2,"a","congesta","3902"
2,"b","congesta","3945"
2,"c","congesta","3985"
2,"d","congesta","4511"
2,"e","congesta","5191"
2,"f","congesta","5194"
3,"c","congesta","16"
3,"d","congesta","147"
4,"b","congesta","3736"
4,"b","congesta","3738"
4,"c","congesta","3751"
4,"c","congesta","5196"
4,"e","congesta","5197"
6,"a","congesta","5200"
6,"a","congesta","5199"
6,"b","congesta","3462"
6,"b","congesta","3468"
6,"c","congesta","4685"
6,"c","congesta","4683"
7,"a","congesta","602"
7,"a","congesta","4686"
7,"c","congesta","986"
7,"c","congesta","498"
7,"c","congesta","701"
7,"c","congesta","798"
7,"d","congesta","4687"
7,"d","congesta","4688"
7,"e","congesta","100"
7,"e","congesta","616"
7,"e","congesta","1013"
7,"f","congesta","89"
7,"f","congesta","7"
8,"a","congesta","4008"
8,"b","congesta","5202"
8,"c","congesta","5205"
8,"d","congesta","4075"
8,"d","congesta","4090"
8,"e","congesta","5208"
8,"f","congesta","4153"
9,"a","congesta","5210"
9,"a","congesta","4187"
9,"a","congesta","5293"
9,"d","congesta","5211"
9,"e","congesta","4302"
9,"f","congesta","4319"
10,"a","congesta","4366"
10,"b","congesta","5212"
10,"c","congesta","4417"
10,"d","congesta","4434"
10,"e","congesta","4466"
10,"f","congesta","4490"
1,"a","delph","4710"
1,"b","delph","4712"
1,"c","delph","4715"
1,"d","delph","4718"
1,"e","delph","4721"
1,"f","delph","4725"
2,"a","delph","4727"
2,"b","delph","4732"
2,"c","delph","4733"
2,"d","delph","4738"
2,"e","delph","4739"
2,"f","delph","5021"
3,"a","delph","4746"
3,"b","delph","4750"
3,"c","delph","4753"
3,"d","delph","4755"
3,"e","delph","4758"
3,"f","delph","4761"
4,"a","delph","4763"
4,"b","delph","4768"
4,"c","delph","4771"
4,"d","delph","4774"
4,"e","delph","4777"
4,"f","delph","4778"
5,"a","delph","4782"
5,"b","delph","4786"
5,"c","delph","4788"
5,"d","delph","4792"
5,"e","delph","4795"
5,"f","delph","4797"
6,"a","delph","4901"
6,"b","delph","4902"
6,"c","delph","4907"
6,"d","delph","4909"
6,"e","delph","4913"
6,"f","delph","4917"
7,"a","delph","4918"
7,"b","delph","4922"
7,"c","delph","4923"
7,"d","delph","4928"
7,"e","delph","4929"
7,"f","delph","4933"
8,"a","delph","4935"
8,"b","delph","4938"
8,"b","delph","4941"
8,"c","delph","4943"
8,"d","delph","4944"
8,"e","delph","4948"
8,"f","delph","4952"
9,"a","delph","4953"
9,"b","delph","4958"
9,"c","delph","5025"
9,"d","delph","5026"
9,"e","delph","4967"
9,"f","delph","4969"
10,"a","delph","5028"
10,"b","delph","4976"
10,"c","delph","4978"
10,"d","delph","4983"
10,"e","delph","4986"
10,"f","delph","4987"
5,"f","delphleaf","leaf_rainout"
6,"f","delphleaf","leaf_control"
1,"a","flag","1a-flag"
1,"b","flag","3550"
1,"c","flag","1c-flag"
1,"d","flag","3626"
1,"e","flag","5047"
1,"f","flag","3662"
2,"a","flag","3916"
2,"a","flag","3913"
2,"b","flag","3933"
2,"c","flag","3951"
2,"f","flag","5052"
3,"a","flag","468"
3,"b","flag","598"
3,"c","flag","4594"
3,"d","flag","5057"
3,"f","flag","5063"
3,"f","flag","5062"
4,"a","flag","5065"
4,"a","flag","5064"
4,"c","flag","5067"
4,"d","flag","3764"
4,"e","flag","3034"
5,"a","flag","3086"
5,"b","flag","5073"
5,"c","flag","5075"
5,"d","flag","5077"
5,"e","flag","5079"
6,"a","flag","5086"
6,"b","flag","5089"
6,"c","flag","5093"
6,"e","flag","5096"
6,"f","flag","5098"
6,"f","flag","5084"
7,"a","flag","5101"
7,"d","flag","5104"
7,"e","flag","5108"
7,"f","flag","5110"
8,"a","flag","5114"
8,"c","flag","5116"
8,"d","flag","5120"
8,"e","flag","5122"
8,"f","flag","5126"
9,"a","flag","4174"
9,"b","flag","4203"
9,"c","flag","4241"
9,"d","flag","4279"
9,"f","flag","4333"
10,"b","flag","5130"
10,"c","flag","4394"
10,"d","flag","5134"
10,"e","flag","5136"
10,"f","flag","5139"
2,"a","gal","3920"
2,"c","gal","3961"
2,"d","gal","5215"
3,"d","gal","5228"
3,"f","gal","175"
3,"f","gal","143"
3,"f","gal","5233"
3,"f","gal","5234"
4,"d","gal","3772"
4,"d","gal","3773"
4,"e","gal","3038"
4,"e","gal","3055"
4,"f","gal","3074"
4,"f","gal","3059"
5,"a","gal","5219"
5,"a","gal","5220"
5,"b","gal","5221"
6,"a","gal","3415"
6,"a","gal","3419"
6,"b","gal","3467"
6,"c","gal","3479"
6,"d","gal","1517"
6,"d","gal","2140"
7,"b","gal","102"
7,"c","gal","5222"
7,"d","gal","277"
7,"e","gal","280"
7,"f","gal","95"
8,"b","gal","5224"
8,"d","gal","5225"
8,"e","gal","4118"
8,"e","gal","4105"
8,"f","gal","4150"
9,"a","gal","5229"
10,"e","gal","5233"
10,"e","gal","5230"
10,"e","gal","5231"
5,"a","gal_leaf","5220"
6,"a","gal_leaf","3419"
3,"a","helio","965"
3,"a","helio","996"
3,"a","helio","542"
3,"a","helio","958"
3,"b","helio","5240"
3,"b","helio","5241"
4,"a","helio","3176"
4,"a","helio","3192"
4,"a","helio","3159"
4,"a","helio","3185"
4,"a","helio","3191"
4,"b","helio","3723"
5,"a","helio","3319"
5,"a","helio","3317"
5,"a","helio","3310"
5,"b","helio","3349"
5,"b","helio","3347"
5,"c","helio","3204"
5,"c","helio","3208"
5,"c","helio","3393"
5,"c","helio","3372"
5,"d","helio","3213"
5,"e","helio","3282"
5,"f","helio","3401"
6,"d","helio","1527"
6,"d","helio","734"
6,"d","helio","1028"
6,"e","helio","278"
6,"e","helio","264"
6,"e","helio","247"
6,"f","helio","255"
6,"f","helio","280"
6,"f","helio","223"
8,"b","helio","4034"
8,"e","helio","4116"
8,"e","helio","4114"
8,"e","helio","4122"
1,"a","het","3592"
1,"b","het","3567"
1,"b","het","3574"
1,"c","het","3524"
1,"c","het","3532"
1,"d","het","4600"
1,"d","het","3606"
1,"e","het","3650"
1,"e","het","3654"
1,"f","het","3661"
1,"f","het","3690"
1,"f","het","3682"
2,"a","het","3694"
2,"a","het","3912"
2,"b","het","3940"
2,"c","het","3967"
2,"c","het","3958"
2,"d","het","3996"
2,"d","het","3988"
2,"e","het","3848"
2,"e","het","3893"
2,"f","het","3964"
2,"f","het","540"
2,"f","het","566"
3,"b","het","454"
3,"c","het","191"
3,"d","het","163"
3,"d","het","145"
3,"e","het","71"
3,"f","het","194"
4,"b","het","3727"
4,"b","het","3729"
4,"c","het","3754"
4,"d","het","3787"
4,"e","het","3051"
4,"f","het","3073"
5,"a","het","3093"
5,"d","het","3229"
5,"d","het","3231"
5,"d","het","3233"
5,"f","het","3285"
5,"f","het","3294"
6,"a","het","3440"
6,"b","het","3470"
6,"b","het","3464"
6,"c","het","3489"
6,"d","het","123"
6,"d","het","2139"
7,"a","het","735"
7,"b","het","94"
7,"c","het","985"
7,"d","het","797"
7,"e","het","613"
7,"f","het","90"
8,"a","het","4019"
8,"b","het","4029"
8,"c","het","4066"
8,"d","het","4079"
8,"e","het","4129"
8,"f","het","4135"
9,"a","het","4179"
9,"b","het","4206"
9,"c","het","4226"
9,"d","het","4253"
9,"e","het","4301"
9,"f","het","4323"
10,"a","het","4358"
10,"b","het","4371"
10,"c","het","4403"
10,"d","het","4431"
10,"e","het","4456"
10,"f","het","4476"
2,"f","leaf_c","562"
4,"b","leaf_c","3729"
4,"b","leaf_c","3723"
6,"a","leaf_c","3440"
1,"f","leaf_r","3681"
3,"a","leaf_r","965"
3,"c","leaf_r","1900"
5,"a","leaf_r","3093"
8,"c","leamb1","leamb1"
NA,NA,"leamb2","leamb2"
NA,NA,"leamb3","leamb3"
NA,NA,"leamb4","leamb4"
1,"d","pot","3613"
2,"b","pot","3935"
2,"c","pot","3969"
2,"d","pot","4509"
3,"b","pot","29"
3,"b","pot","4651"
3,"c","pot","227"
3,"c","pot","440"
3,"d","pot","262"
3,"f","pot","183"
3,"f","pot","198"
4,"a","pot","3187"
4,"ambfm","pot","3187"
4,"b","pot","3200"
4,"c","pot","3756"
4,"d","pot","3782"
4,"e","pot","3039"
4,"e","pot","3739"
4,"f","pot","3061"
5,"a","pot","3324"
5,"b","pot","3332"
5,"c","pot","2278"
5,"d","pot","3232"
5,"e","pot","3259"
5,"f","pot","3295"
6,"a","pot","3451"
6,"b","pot","3466"
6,"c","pot","3488"
6,"d","pot","30"
6,"e","pot","240"
6,"f","pot","206"
7,"a","pot","2130"
7,"b","pot","5173"
7,"c","pot","911"
7,"d","pot","5177"
7,"e","pot","5179"
7,"f","pot","5182"
8,"a","pot","4012"
8,"b","pot","4037"
8,"c","pot","4050"
8,"d","pot","4094"
8,"e","pot","4126"
8,"f","pot","4138"
10,"a","pot","4364"
10,"c","pot","4398"
10,"c","pot","4397"
1,"a","umb","3596"
1,"b","umb","3571"
1,"c","umb","3526"
1,"d","umb","5143"
1,"f","umb","3677"
1,"f","umb","3668/70"
2,"a","umb","5146"
2,"a","umb","5145"
2,"a","umb","5144"
2,"f","umb","548"
3,"c","umb","170"
3,"c","umb","1530"
3,"d","umb","188"
3,"d","umb","199"
3,"e","umb","255"
3,"f","umb","157"
4,"a","umb","3160"
4,"b","umb","3731"
4,"b","umb","3728"
4,"c","umb","3743"
4,"d","umb","3767"
4,"e","umb","3792"
5,"e","umb","326"
6,"a","umb","3449"
6,"b","umb","3456"
6,"c","umb","3499"
6,"e","umb","323"
6,"f","umb","207"
6,"f","umb","3290"
7,"b","umb","5157"
7,"d","umb","595"
7,"d","umb","189"
7,"f","umb","95"
8,"a","umb","4005"
8,"b","umb","8b"
8,"c","umb","4068"
8,"d","umb","4088"
8,"e","umb","4100"
8,"f","umb","4145"
9,"a","umb","4188"
9,"b","umb","4214"
9,"c","umb","4222"
9,"d","umb","4273"
9,"e","umb","4316"
9,"f","umb","4345"
10,"b","umb","4373"
10,"c","umb","4396"
10,"d","umb","4429"
10,"e","umb","5166"
10,"f","umb","5167"
